date,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
9/28/03,902,477,,606,,929,233,223,,927,587,514,,,677,544,303,272,420,1017,,1268,344,685,484,,349,,,,,695,,649,565,,616,1040,409,1186,,462,,551,1398,,,1112,588,,466,
10/5/03,952,501,,663,,849,251,243,,993,582,532,,,732,607,303,270,442,1096,,1374,362,748,514,,359,,,,,716,,725,660,,699,1065,409,1176,,478,,597,1517,,,1198,624,,504,
10/12/03,1092,492,,700,,1032,283,261,,1033,606,557,,,799,637,312,280,460,1144,,1445,372,791,588,,381,,,,,815,,739,861,,729,1122,428,1340,,521,,670,2010,,,1343,777,,538,
10/19/03,1209,533,,819,,1084,310,268,,1089,698,608,,,841,680,342,292,485,1308,,1432,367,829,692,,431,,,,,831,,874,852,,759,1199,467,1424,,529,,666,2786,,,1448,866,,595,
10/26/03,1249,594,,959,,989,344,334,,1177,708,745,,,978,765,368,313,496,1936,,1426,370,803,701,,452,,,,,901,,865,857,,847,1278,510,1514,,556,,717,2917,,,1556,1026,,653,
11/2/03,1374,715,,1167,,1284,569,394,,1270,746,767,936,,1102,773,399,323,505,2791,,1495,404,898,708,,450,,,,,897,,1005,922,,830,1437,576,1448,,621,,733,3177,,,1640,1053,,688,
11/9/03,1702,840,,1655,,1741,2053,459,,1377,917,803,993,,1091,831,444,360,563,3975,,1653,474,939,776,,514,,400,,,994,,1059,1135,,880,2082,780,1720,,758,,931,3344,291,,1931,1605,,813,
11/16/03,2148,1064,,2662,,2110,3669,538,,1538,1095,1236,994,,1374,1143,519,449,673,4796,,2156,782,1061,829,,684,,611,,,1281,,1559,1536,,1040,3888,978,2423,,844,,1152,4287,438,,2575,2881,,1169,
11/23/03,2968,1458,,4935,,3138,5731,635,,1867,1404,1526,1039,,2367,1560,727,647,928,4722,,3197,1117,1340,954,,1211,,1096,1058,,1731,,2246,2363,,1837,8199,1480,2737,,1074,,1650,4828,1055,,3290,4817,,1504,
11/30/03,3524,3202,,8265,,5406,5741,1070,,2630,1972,2922,1204,,3248,2868,1304,1892,1364,4756,,4095,1673,2146,1768,,2593,,4633,1916,426,2803,,2723,4095,,2960,14183,2682,3569,,1652,,3295,3747,3471,,4593,7193,,2968,
